id,Extrovert
18524,0.9895794
18525,0.037585903
18526,0.95249283
18527,0.9914198
18528,0.03642784
18529,0.99197066
18530,0.95683664
18531,0.05351911
18532,0.9930762
18533,0.019169025
18534,0.98622173
18535,0.9682396
18536,0.031398196
18537,0.98141366
18538,0.08163535
18539,0.97379535
18540,0.9895504
18541,0.94573545
18542,0.08044864
18543,0.96979666
18544,0.027241599
18545,0.030142775
18546,0.9401374
18547,0.021864215
18548,0.9921146
18549,0.99144226
18550,0.9755407
18551,0.9939713
18552,0.056875102
18553,0.1055232
18554,0.9896791
18555,0.95931464
18556,0.037610777
18557,0.9856403
18558,0.9933367
18559,0.99602413
18560,0.9819519
18561,0.98958975
18562,0.99379265
18563,0.98301506
18564,0.027669603
18565,0.068174355
18566,0.10470074
18567,0.06364752
18568,0.98801404
18569,0.026169164
18570,0.9817431
18571,0.05988545
18572,0.9704304
18573,0.9651895
18574,0.014598998
18575,0.9935441
18576,0.9848862
18577,0.99071455
18578,0.9876751
18579,0.98085034
18580,0.9762003
18581,0.9802808
18582,0.060012262
18583,0.99058753
18584,0.96653694
18585,0.98589003
18586,0.9734665
18587,0.9885395
18588,0.94805545
18589,0.95717716
18590,0.9911576
18591,0.1639827
18592,0.97260386
18593,0.9843753
18594,0.020757148
18595,0.057107303
18596,0.98423195
18597,0.9595876
18598,0.99114007
18599,0.9652563
18600,0.9844988
18601,0.98827726
18602,0.9831367
18603,0.98782897
18604,0.97571915
18605,0.9890532
18606,0.98661995
18607,0.9814439
18608,0.98666334
18609,0.9831812
18610,0.9928351
18611,0.036191642
18612,0.9927004
18613,0.03519448
18614,0.96563506
18615,0.091210164
18616,0.95770246
18617,0.98989457
18618,0.98865765
18619,0.9827876
18620,0.98503786
18621,0.9904392
18622,0.97000855
18623,0.07879954
18624,0.029659715
18625,0.9786059
18626,0.9598947
18627,0.9907749
18628,0.029570527
18629,0.9114763
18630,0.98302907
18631,0.964414
18632,0.9907073
18633,0.048155345
18634,0.98685724
18635,0.98878807
18636,0.01825561
18637,0.02987569
18638,0.985479
18639,0.9829228
18640,0.990203
18641,0.9526413
18642,0.9622011
18643,0.09932677
18644,0.9754921
18645,0.06137887
18646,0.95234597
18647,0.980823
18648,0.9639874
18649,0.031639017
18650,0.9852776
18651,0.9670962
18652,0.99254626
18653,0.9480444
18654,0.050891027
18655,0.9935381
18656,0.9817955
18657,0.941665
18658,0.99281126
18659,0.98819333
18660,0.053024713
18661,0.019307856
18662,0.96674037
18663,0.027536502
18664,0.9761169
18665,0.94083023
18666,0.9107524
18667,0.95142365
18668,0.9889101
18669,0.9754564
18670,0.04342537
18671,0.97380763
18672,0.024353672
18673,0.067060255
18674,0.9586286
18675,0.9862061
18676,0.9712544
18677,0.99276006
18678,0.9929832
18679,0.9824342
18680,0.9764251
18681,0.041438155
18682,0.9824019
18683,0.9707882
18684,0.99106497
18685,0.05362599
18686,0.9851425
18687,0.98751044
