xgb,lgb,cat,id,true_label,mean_pred,std_pred,max_pred,min_pred,range_pred,xgb_class,lgb_class,cat_class,pred_agreement,true_class,consensus_class,label_disagreement,strong_disagreement
0.951332151889801,0.9863431305825352,0.9736608260954994,0,Extrovert,0.9704453695226118,0.017725589637156387,0.9863431305825352,0.951332151889801,0.035010978692734174,1,1,1,True,1,1,False,False
0.9901700615882874,0.9871688314717071,0.9908059683491741,1,Extrovert,0.9893816204697229,0.0019425294629529005,0.9908059683491741,0.9871688314717071,0.0036371368774670287,1,1,1,True,1,1,False,False
0.0036099127028137445,0.0009581323465494677,0.006670433428099101,2,Introvert,0.0037461594924874373,0.0028585867666279727,0.006670433428099101,0.0009581323465494677,0.005712301081549634,0,0,0,True,0,0,False,False
0.998007595539093,0.9965751954149744,0.9956437789514775,3,Extrovert,0.9967421899685149,0.0011907235618126236,0.998007595539093,0.9956437789514775,0.0023638165876155304,1,1,1,True,1,1,False,False
0.9937547445297241,0.9870489547170171,0.9926523637306819,4,Extrovert,0.9911520209924743,0.003595855322745918,0.9937547445297241,0.9870489547170171,0.006705789812706975,1,1,1,True,1,1,False,False
0.992518424987793,0.9903307792397862,0.985745131716471,5,Extrovert,0.9895314453146834,0.00345667130021049,0.992518424987793,0.985745131716471,0.006773293271321923,1,1,1,True,1,1,False,False
0.9922680258750916,0.9917944901390867,0.9906735186660783,6,Extrovert,0.9915786782267522,0.0008188677524654949,0.9922680258750916,0.9906735186660783,0.0015945072090132184,1,1,1,True,1,1,False,False
0.996338963508606,0.9924582525124113,0.9879636087542176,7,Extrovert,0.9922536082584116,0.0041914259230582986,0.996338963508606,0.9879636087542176,0.008375354754388331,1,1,1,True,1,1,False,False
0.005496899131685495,0.013583446233549089,0.011838040775649154,8,Introvert,0.010306128713627913,0.004255364488735277,0.013583446233549089,0.005496899131685495,0.008086547101863593,0,0,0,True,0,0,False,False
0.9983288645744324,0.9950971445584025,0.98240629995121,9,Extrovert,0.9919441030280151,0.008416547345226231,0.9983288645744324,0.98240629995121,0.01592256462322239,1,1,1,True,1,1,False,False
0.9985407590866089,0.9991546286219322,0.9961552194607647,10,Extrovert,0.9979502023897685,0.0015845130918238097,0.9991546286219322,0.9961552194607647,0.0029994091611674767,1,1,1,True,1,1,False,False
0.995373547077179,0.996559947862818,0.9877249106109323,11,Extrovert,0.9932194685169765,0.004795259288421779,0.996559947862818,0.9877249106109323,0.008835037251885725,1,1,1,True,1,1,False,False
0.9910809397697449,0.9821750202758627,0.9910704303641232,12,Extrovert,0.9881087968032435,0.0051388038997002205,0.9910809397697449,0.9821750202758627,0.008905919493882197,1,1,1,True,1,1,False,False
0.976696252822876,0.9685687231349553,0.982201215653977,13,Extrovert,0.9758220638706027,0.006858160672768081,0.982201215653977,0.9685687231349553,0.013632492519021655,1,1,1,True,1,1,False,False
0.9969871640205383,0.9953445514016183,0.9935680425043156,14,Extrovert,0.9952999193088242,0.0017099976618272456,0.9969871640205383,0.9935680425043156,0.0034191215162227007,1,1,1,True,1,1,False,False
0.9650762677192688,0.9012670567516088,0.9625849241170953,15,Extrovert,0.9429760828626575,0.03614254892208266,0.9650762677192688,0.9012670567516088,0.06380921096766001,1,1,1,True,1,1,False,False
0.9939180612564087,0.9914726625612088,0.9943204049888291,16,Extrovert,0.9932370429354823,0.0015411841871091714,0.9943204049888291,0.9914726625612088,0.0028477424276203145,1,1,1,True,1,1,False,False
0.004274215083569288,0.005551181974249314,0.011008513847945779,17,Introvert,0.006944636968588127,0.0035768677048370855,0.011008513847945779,0.004274215083569288,0.006734298764376491,0,0,0,True,0,0,False,False
0.9995920062065125,0.9997731182197535,0.9961951098284155,18,Extrovert,0.9985200780848937,0.0020155169152251753,0.9997731182197535,0.9961951098284155,0.003578008391337928,1,1,1,True,1,1,False,False
