id,iteration
18532,1
18539,1
18540,1
18543,1
18555,1
18557,1
18558,1
18560,1
18563,1
18568,1
18572,1
18573,1
18579,1
18585,1
18586,1
18587,1
18589,1
18592,1
18593,1
18606,1
18607,1
18614,1
18616,1
18621,1
18635,1
18639,1
18653,1
18656,1
18658,1
18664,1
18666,1
18667,1
18668,1
18671,1
18675,1
18677,1
18678,1
18680,1
18682,1
18683,1
18686,1
18689,1
18692,1
18700,1
18714,1
18721,1
18730,1
18731,1
18735,1
18739,1
18535,2
18580,2
18600,2
18622,2
18674,2
18679,2
18742,2
18748,2
18762,2
18764,2
18772,2
18773,2
18786,2
18795,2
18796,2
18808,2
18812,2
18813,2
18814,2
18817,2
18824,2
18827,2
18828,2
18836,2
18837,2
18839,2
18844,2
18847,2
18848,2
18852,2
18855,2
18865,2
18867,2
18870,2
18880,2
18881,2
18889,2
18905,2
18910,2
18914,2
18917,2
18930,2
18937,2
18955,2
18958,2
18959,2
18960,2
18964,2
18965,2
18975,2
18529,3
18551,3
18599,3
18604,3
18605,3
18609,3
18612,3
18619,3
18632,3
18640,3
18655,3
18687,3
18694,3
18702,3
18703,3
18727,3
18732,3
18736,3
18737,3
18744,3
18752,3
18756,3
18761,3
18767,3
18771,3
18775,3
18776,3
18779,3
18780,3
18785,3
18789,3
18792,3
18797,3
18800,3
18803,3
18807,3
18811,3
18821,3
18829,3
18846,3
18849,3
18853,3
18862,3
18869,3
18891,3
18895,3
18897,3
18898,3
18900,3
18907,3
18548,4
18550,4
18554,4
18576,4
18581,4
18597,4
18598,4
18601,4
18608,4
18610,4
18638,4
18646,4
18648,4
18651,4
18716,4
18749,4
18750,4
18753,4
18763,4
18774,4
18783,4
18791,4
18809,4
18819,4
18820,4
18856,4
18863,4
18868,4
18873,4
18877,4
18884,4
18896,4
18899,4
18901,4
18912,4
18913,4
18918,4
18931,4
18935,4
18936,4
18940,4
18961,4
18967,4
18970,4
18974,4
18978,4
18980,4
18987,4
18988,4
18989,4
18530,5
18562,5
18578,5
18603,5
18618,5
18625,5
18627,5
18652,5
18710,5
18712,5
18726,5
18743,5
18759,5
18815,5
18825,5
18830,5
18832,5
18871,5
18886,5
18894,5
18920,5
18922,5
