id,gradient_norm,mean_pred,std_pred
22291,0.026507575,0.3756362232510108,0.1524835935831494
18754,0.025200993,0.587019984768803,0.065324820187703
21138,0.023735413,0.6289586932902954,0.0237077299841187
21932,0.021592172,0.5323954760604926,0.151840722120152
22189,0.017701436,0.8004883848582319,0.0297372303538547
18876,0.014418872,0.2870314046729953,0.0619417145338578
22660,0.013520472,0.9781182582607276,0.0131947984141315
24005,0.013322975,0.3886655893056666,0.1741671559758868
20363,0.012669138,0.9077095224073952,0.0740307365620007
23418,0.012576422,0.571525447093467,0.0769481400422845
