id,Personality,ambiguity_score,null_count,cluster,composite_ambiguity,final_ambiguity_score,ambiguity_sources
9067,Extrovert,0.33333333333333215,2,7,3.4,4.394152046783626,4
4086,Extrovert,1.704647154322707,2,10,2.8,3.7700939095732857,3
2694,Introvert,2.3333333333333286,0,10,2.8,3.75906432748538,3
10120,Introvert,2.3333333333333357,0,10,2.8,3.7590643274853797,3
10089,Extrovert,3.0,2,14,2.8,3.7473684210526317,3
4223,Introvert,3.666666666666668,0,10,2.8,3.735672514619883,3
7012,Extrovert,3.6666666666666643,2,14,2.8,3.735672514619883,3
14687,Introvert,0.3333333333333357,0,11,2.5,3.4941520467836256,3
11340,Introvert,0.33333333333333215,0,9,2.5,3.4941520467836256,3
10243,Introvert,3.0,0,13,2.5,3.447368421052632,3
17621,Introvert,3.0,0,13,2.5,3.447368421052632,3
5908,Introvert,3.0,0,13,2.5,3.447368421052632,3
124,Introvert,3.6666666666666643,0,13,2.5,3.435672514619883,3
13158,Introvert,3.6666666666666643,0,9,2.5,3.435672514619883,3
2004,Introvert,3.6666666666666643,0,11,2.5,3.435672514619883,3
369,Extrovert,0.057805469020422606,2,7,2.4,3.398985868964554,3
6545,Extrovert,0.3311581759206277,2,7,2.4,3.394190207439989,3
2148,Extrovert,0.42197209520459467,2,7,2.4,3.3925969807858842,3
6081,Extrovert,0.7244721356870869,2,7,2.4,3.3872899625318054,3
14062,Extrovert,1.088638761871266,2,7,2.4,3.380901074353136,3
2839,Extrovert,1.275527864312913,2,7,2.4,3.3776223181699487,3
8711,Extrovert,1.5302121771217685,2,7,2.4,3.373154172331197,3
12928,Extrovert,1.6688418240793723,2,7,2.4,3.3707220732617653,3
17385,Extrovert,1.6688418240793723,2,7,2.4,3.3707220732617653,3
14606,Extrovert,2.724472135687087,2,7,2.4,3.3522022432335596,3
17072,Extrovert,2.863545510455104,2,7,2.4,3.3497623594657,3
14239,Extrovert,2.863545510455104,2,7,2.4,3.3497623594657,3
7140,Extrovert,3.391138802353751,2,7,2.4,3.340506336800811,3
11992,Extrovert,4.057805469020423,2,7,2.4,3.328810430368063,3
13035,Extrovert,4.19687884378844,2,7,2.4,3.3263705466002027,3
6442,Extrovert,4.19687884378844,2,7,2.4,3.3263705466002027,3
4584,Extrovert,4.19687884378844,2,7,2.4,3.3263705466002027,3
12860,Extrovert,4.419796937791887,3,7,2.4,3.322459702845756,3
629,Extrovert,4.421972095204595,2,7,2.4,3.3224215421893932,3
17683,Extrovert,1.6666666666666679,1,7,2.3,3.2707602339181285,3
2488,Extrovert,0.3333333333333357,0,10,2.0,2.9941520467836256,2
2108,Extrovert,0.3333333333333357,0,10,2.0,2.9941520467836256,2
11053,Extrovert,0.3333333333333357,0,10,2.0,2.9941520467836256,2
10147,Extrovert,0.3333333333333357,0,10,2.0,2.9941520467836256,2
4854,Extrovert,0.3333333333333357,0,10,2.0,2.9941520467836256,2
3613,Extrovert,0.3333333333333357,0,10,2.0,2.9941520467836256,2
9542,Extrovert,0.3333333333333357,0,10,2.0,2.9941520467836256,2
8245,Extrovert,0.3333333333333357,0,10,2.0,2.9941520467836256,2
8526,Extrovert,0.3333333333333357,0,10,2.0,2.9941520467836256,2
5812,Extrovert,0.36913866357667047,1,10,2.0,2.993523883095146,2
1317,Extrovert,1.0,0,10,2.0,2.982456140350877,2
1283,Extrovert,1.0,0,10,2.0,2.982456140350877,2
10229,Extrovert,1.0,0,10,2.0,2.982456140350877,2
2277,Extrovert,1.5780279047954053,1,0,2.0,2.97231529991587,2
1426,Extrovert,1.6666666666666679,0,10,2.0,2.9707602339181287,2
154,Extrovert,1.6666666666666714,0,10,2.0,2.9707602339181287,2
8131,Extrovert,1.6666666666666679,0,10,2.0,2.9707602339181287,2
116,Extrovert,1.6666666666666679,0,10,2.0,2.9707602339181287,2
8972,Extrovert,1.6666666666666679,0,10,2.0,2.9707602339181287,2
3703,Extrovert,1.6666666666666643,0,10,2.0,2.9707602339181287,2
4846,Extrovert,1.6666666666666643,0,10,2.0,2.9707602339181287,2
11726,Extrovert,1.6666666666666714,0,10,2.0,2.9707602339181287,2
5088,Extrovert,1.6666666666666643,0,10,2.0,2.9707602339181287,2
10673,Extrovert,1.6666666666666714,0,10,2.0,2.9707602339181287,2
9579,Extrovert,1.6666666666666679,0,10,2.0,2.9707602339181287,2
6672,Extrovert,1.6666666666666643,0,10,2.0,2.9707602339181287,2
5166,Extrovert,1.6666666666666643,0,10,2.0,2.9707602339181287,2
5484,Extrovert,1.6666666666666643,0,10,2.0,2.9707602339181287,2
7077,Extrovert,1.6688418240793723,1,10,2.0,2.9707220732617654,2
5410,Extrovert,1.6688418240793723,1,10,2.0,2.9707220732617654,2
4308,Extrovert,1.6688418240793723,1,0,2.0,2.9707220732617654,2
11083,Extrovert,1.6688418240793723,1,10,2.0,2.9707220732617654,2
6252,Extrovert,1.6688418240793723,1,10,2.0,2.9707220732617654,2
2190,Extrovert,1.6688418240793723,1,10,2.0,2.9707220732617654,2
1722,Extrovert,1.6688418240793723,1,10,2.0,2.9707220732617654,2
5431,Extrovert,1.702471996909999,1,10,2.0,2.970132070229649,2
10088,Extrovert,1.702471996909999,1,10,2.0,2.970132070229649,2
3432,Extrovert,2.2446945714620696,1,0,2.0,2.9606193934831215,2
2353,Extrovert,2.297528003090001,1,10,2.0,2.9596924911738594,2
4436,Extrovert,2.3311581759206277,1,10,2.0,2.9591024881417436,2
9911,Extrovert,2.333333333333332,0,10,2.0,2.9590643274853803,2
1521,Extrovert,2.333333333333332,0,10,2.0,2.9590643274853803,2
7782,Extrovert,2.333333333333332,0,10,2.0,2.9590643274853803,2
437,Extrovert,2.333333333333332,0,0,2.0,2.9590643274853803,2
9606,Extrovert,2.333333333333332,0,10,2.0,2.9590643274853803,2
6236,Extrovert,2.3333333333333357,0,10,2.0,2.95906432748538,2
9883,Extrovert,2.3333333333333357,0,10,2.0,2.95906432748538,2
9663,Extrovert,2.3333333333333357,0,10,2.0,2.95906432748538,2
1161,Extrovert,2.3333333333333357,0,10,2.0,2.95906432748538,2
6439,Extrovert,2.3333333333333357,0,10,2.0,2.95906432748538,2
8161,Extrovert,2.3333333333333357,0,10,2.0,2.95906432748538,2
11588,Extrovert,2.369138663576667,1,10,2.0,2.9584361637969003,2
4645,Extrovert,2.3691386635766705,1,10,2.0,2.9584361637969003,2
9870,Extrovert,2.3691386635766705,1,10,2.0,2.9584361637969003,2
2027,Extrovert,3.0,0,10,2.0,2.947368421052632,2
5609,Extrovert,3.0,0,10,2.0,2.947368421052632,2
10996,Extrovert,3.0,0,10,2.0,2.947368421052632,2
11600,Extrovert,3.0,0,10,2.0,2.947368421052632,2
6328,Extrovert,3.0,0,10,2.0,2.947368421052632,2
3275,Extrovert,3.0,0,0,2.0,2.947368421052632,2
893,Extrovert,3.0,0,10,2.0,2.947368421052632,2
10867,Extrovert,3.0358053302433348,1,10,2.0,2.946740257364152,2
3428,Extrovert,3.0358053302433348,1,10,2.0,2.946740257364152,2
3676,Extrovert,3.6666666666666643,0,10,2.0,2.935672514619883,2
