trial,extrovert_pct,xgb_subset_acc,xgb_full_acc,xgb_removed_acc,lgb_subset_acc,lgb_full_acc,lgb_removed_acc,cat_subset_acc,cat_full_acc,cat_removed_acc
1,0.7419237220156056,0.9714869102311675,0.9703087885985748,0.9669507378923301,0.971851527747393,0.970632692722954,0.967158594886718,0.9714869102311675,0.9703087885985748,0.9669507378923301
2,0.7374753883176548,0.9709035222052067,0.9702008205571151,0.9681978798586572,0.9714869102311675,0.9707406607644138,0.968613593847433,0.9713410632246773,0.9708486288058734,0.9694450218249844
3,0.7428717275577918,0.971851527747393,0.9704167566400346,0.9663271669091665,0.9720702982571283,0.9703627726193047,0.965495738931615,0.9720702982571283,0.9706866767436839,0.9667428808979422
4,0.7352876832203019,0.9710493692116969,0.9703627726193047,0.9684057368530451,0.9714139867279225,0.970632692722954,0.9684057368530451,0.9713410632246773,0.970632692722954,0.968613593847433
5,0.7390797053890469,0.9714139867279225,0.9703627726193047,0.9673664518811058,0.9719244512506381,0.970632692722954,0.9669507378923301,0.9716327572376577,0.970632692722954,0.9677821658698815
6,0.7361627652592431,0.9705389046889813,0.970632692722954,0.9709000207856995,0.971122292714942,0.9710645648887929,0.9709000207856995,0.9706847516954714,0.9706866767436839,0.9706921637913116
7,0.7401006344344783,0.9706118281922264,0.9701468365363852,0.9688214508418208,0.9707576751987166,0.970254804577845,0.9688214508418208,0.9709035222052067,0.9705247246814943,0.9694450218249844
8,0.7411944869831547,0.9709035222052067,0.9703087885985748,0.968613593847433,0.9714869102311675,0.9707406607644138,0.968613593847433,0.9711952162181872,0.9706866767436839,0.9692371648305965
9,0.7417049515058703,0.9722161452636184,0.9705247246814943,0.9657035959260029,0.9728724567928243,0.9710645648887929,0.9659114529203908,0.972580762779844,0.9707946447851435,0.9657035959260029
10,0.7382775468533508,0.971122292714942,0.9703087885985748,0.9679900228642694,0.971851527747393,0.9707946447851435,0.9677821658698815,0.9714869102311675,0.9703627726193047,0.967158594886718
