id,probability,prediction
18524,0.9919130373346151,Extrovert
18525,0.04291587553433053,Introvert
18526,0.8876090798444229,Extrovert
18527,0.9884798492856097,Extrovert
18528,0.04481185051466828,Introvert
18529,0.9893857622155913,Extrovert
18530,0.9797774412927556,Extrovert
18531,0.04501828862267363,Introvert
18532,0.9922319884705381,Extrovert
18533,0.027618302460389692,Introvert
18534,0.9929425205862106,Extrovert
18535,0.9700889506629075,Extrovert
18536,0.040368039889980264,Introvert
18537,0.9866634581445041,Extrovert
18538,0.05752485134051757,Introvert
18539,0.9868832014608333,Extrovert
18540,0.9888148734541723,Extrovert
18541,0.9571066833728834,Extrovert
18542,0.15496479620600292,Introvert
18543,0.9506034514559462,Extrovert
18544,0.03975722352510776,Introvert
18545,0.03884026064050765,Introvert
18546,0.9642023990316618,Extrovert
18547,0.041807274125045604,Introvert
18548,0.9940959718662435,Extrovert
18549,0.9881419515542504,Extrovert
18550,0.9695697026379125,Extrovert
18551,0.9897736259337708,Extrovert
18552,0.05119967462673882,Introvert
18553,0.07838235821038861,Introvert
18554,0.9917092157812094,Extrovert
18555,0.9737914978906884,Extrovert
18556,0.034844938039865485,Introvert
18557,0.9845680080885699,Extrovert
18558,0.993500572768524,Extrovert
18559,0.9922555693398,Extrovert
18560,0.9876392498420259,Extrovert
18561,0.990610122389121,Extrovert
18562,0.9903421631450294,Extrovert
18563,0.9883568512177796,Extrovert
18564,0.035541133759445516,Introvert
18565,0.05668894342670392,Introvert
18566,0.08150956877270629,Introvert
18567,0.06929697387284398,Introvert
18568,0.9872246177439912,Extrovert
18569,0.02934006141643692,Introvert
18570,0.9794836586176394,Extrovert
18571,0.04439467107394671,Introvert
18572,0.9812861189259454,Extrovert
18573,0.9808362820011741,Extrovert
18574,0.021693476672045714,Introvert
18575,0.9922150060638979,Extrovert
18576,0.9903142977727711,Extrovert
18577,0.992512075989136,Extrovert
18578,0.9881550239054884,Extrovert
18579,0.9816981433885651,Extrovert
18580,0.9845406949791233,Extrovert
18581,0.9830000545556554,Extrovert
18582,0.16191789416988372,Introvert
18583,0.9893895448859507,Extrovert
18584,0.9685733699711981,Extrovert
18585,0.9898482628168989,Extrovert
18586,0.9836616534339377,Extrovert
18587,0.989773237684118,Extrovert
18588,0.9683011789121407,Extrovert
18589,0.9391712474476549,Extrovert
18590,0.987677898404657,Extrovert
18591,0.2086132634773096,Introvert
18592,0.9613152695746408,Extrovert
18593,0.99072681845716,Extrovert
18594,0.02217949950714549,Introvert
18595,0.051177121700988905,Introvert
18596,0.9818401105715306,Extrovert
18597,0.9279030022156466,Extrovert
18598,0.995269078354087,Extrovert
18599,0.9745408601045117,Extrovert
18600,0.9880215704040598,Extrovert
18601,0.9899948800609166,Extrovert
18602,0.9845423366123164,Extrovert
18603,0.9872904593758125,Extrovert
18604,0.9699065707255563,Extrovert
18605,0.992811055384575,Extrovert
18606,0.9897782275014645,Extrovert
18607,0.9863457182787186,Extrovert
18608,0.9880240491944751,Extrovert
18609,0.9820828779739855,Extrovert
18610,0.9898884275098838,Extrovert
18611,0.019227045171142283,Introvert
18612,0.9895430493521502,Extrovert
18613,0.025351957195260944,Introvert
18614,0.9827075662474879,Extrovert
18615,0.04527604048086896,Introvert
18616,0.9659172620869896,Extrovert
18617,0.9649362972653268,Extrovert
18618,0.9928551634673678,Extrovert
18619,0.992167725754275,Extrovert
18620,0.9841442734152672,Extrovert
18621,0.9868726359102729,Extrovert
18622,0.9807187226379425,Extrovert
18623,0.025831267353175636,Introvert
18624,0.03156465677004365,Introvert
18625,0.9845576035011009,Extrovert
18626,0.9518724970780958,Extrovert
18627,0.9871275303911713,Extrovert
18628,0.020984962379914526,Introvert
18629,0.9201573984695326,Extrovert
18630,0.9767666308769414,Extrovert
18631,0.9439394292970995,Extrovert
18632,0.9899210143941424,Extrovert
18633,0.025707276784046183,Introvert
18634,0.987571592348365,Extrovert
18635,0.9899550234594805,Extrovert
18636,0.01945425580938378,Introvert
18637,0.039984726152203456,Introvert
18638,0.9898994422693947,Extrovert
18639,0.987997617870261,Extrovert
18640,0.9882604549850657,Extrovert
18641,0.969054801977648,Extrovert
18642,0.9817969337873258,Extrovert
18643,0.09508472927392028,Introvert
18644,0.9804451175574405,Extrovert
18645,0.12983643951596702,Introvert
18646,0.9337211573534854,Extrovert
18647,0.9919627212964155,Extrovert
