file,test_id,train_idx,improvement,flip
../scores/flip_METAMODEL_BASELINE_0975708_0.008052_1_E2I_id_22700.csv,22700,8117,0.008052,Extrovert→Introvert
../scores/flip_METAMODEL_BASELINE_0975708_0.007303_1_E2I_id_19823.csv,19823,2197,0.007303,Extrovert→Introvert
../scores/flip_METAMODEL_BASELINE_0975708_0.002928_1_E2I_id_18833.csv,18833,5657,0.002928,Extrovert→Introvert
../scores/flip_METAMODEL_BASELINE_0975708_0.001757_1_E2I_id_24665.csv,24665,4548,0.001757,Extrovert→Introvert
../scores/flip_METAMODEL_BASELINE_0975708_0.001757_1_E2I_id_19319.csv,19319,6593,0.001757,Extrovert→Introvert
../scores/flip_METAMODEL_BASELINE_0975708_0.001757_1_E2I_id_18625.csv,18625,8145,0.001757,Extrovert→Introvert
../scores/flip_METAMODEL_BASELINE_0975708_0.000977_1_E2I_id_19065.csv,19065,4637,0.000977,Extrovert→Introvert
../scores/flip_METAMODEL_BASELINE_0975708_0.000308_1_E2I_id_21890.csv,21890,7881,0.000308,Extrovert→Introvert
../scores/flip_METAMODEL_BASELINE_0975708_0.000162_1_E2I_id_22040.csv,22040,1834,0.000162,Extrovert→Introvert
../scores/flip_METAMODEL_BASELINE_0975708_0.000146_1_E2I_id_22827.csv,22827,2653,0.000146,Extrovert→Introvert
