id,isfj_score,esfj_score,isfj_likelihood,Personality,proba,was_flipped
18524,4.0,3.0,9.02262032032013,Extrovert,0.98868984,False
18525,5.0,0.0,14.908150553703308,Introvert,0.045924738,False
18526,2.0,5.0,4.069052577018738,Extrovert,0.9654737,False
18527,2.0,3.0,4.022455811500549,Extrovert,0.9887721,False
18528,4.0,0.0,12.89578914642334,Introvert,0.052105404,False
18529,2.0,5.0,4.021700024604797,Extrovert,0.98915,False
18530,2.0,4.0,4.061744451522827,Extrovert,0.9691278,False
18531,4.0,0.0,12.890159487724304,Introvert,0.054920256,False
18532,2.0,4.0,4.022306323051453,Extrovert,0.98884684,False
18533,3.0,0.0,7.939159035682678,Introvert,0.03042046,False
18534,2.0,4.0,4.042043089866638,Extrovert,0.97897846,False
18535,1.0,6.0,2.060181140899658,Extrovert,0.9699094,False
18536,5.0,0.0,14.915954351425171,Introvert,0.042022854,False
18537,1.0,6.0,2.055093288421631,Extrovert,0.97245336,False
18538,4.0,0.0,12.868418574333191,Introvert,0.06579069,False
18539,1.0,6.0,2.065151810646057,Extrovert,0.9674241,False
18540,3.0,3.0,7.033208131790161,Extrovert,0.98339593,False
18541,3.0,4.0,7.07897675037384,Extrovert,0.9605116,False
18542,2.0,0.0,5.899383544921875,Introvert,0.050308257,False
18543,2.0,4.0,4.043362498283386,Extrovert,0.97831875,False
18544,4.0,0.0,12.907477498054504,Introvert,0.046261236,False
18545,4.0,0.0,12.90618121623993,Introvert,0.046909407,False
18546,1.0,6.0,2.09053111076355,Extrovert,0.95473444,False
18547,4.0,0.0,12.906609296798706,Introvert,0.04669536,False
18548,1.0,6.0,2.030654549598694,Extrovert,0.9846727,False
18549,3.0,3.0,7.0224045515060425,Extrovert,0.9887977,False
18550,1.0,6.0,2.0511304140090942,Extrovert,0.9744348,False
18551,3.0,4.0,7.02214252948761,Extrovert,0.98892874,False
18552,5.0,0.0,14.903115153312683,Introvert,0.048442435,False
18553,4.0,0.0,12.861006140708923,Introvert,0.06949692,False
18554,2.0,3.0,4.039056777954102,Extrovert,0.9804716,False
18555,1.0,4.0,2.0665507316589355,Extrovert,0.96672463,False
18556,4.0,0.0,12.895557403564453,Introvert,0.052221324,False
18557,3.0,4.0,7.0327675342559814,Extrovert,0.98361623,False
18558,2.0,5.0,4.02345871925354,Extrovert,0.98827064,False
18559,3.0,4.0,7.023802876472473,Extrovert,0.98809856,False
18560,1.0,6.0,2.0659130811691284,Extrovert,0.96704346,False
18561,1.0,4.0,2.0295052528381348,Extrovert,0.9852474,False
18562,1.0,5.0,2.021758556365967,Extrovert,0.9891207,False
