id,mean_proba,std_proba,uncertainty,final_proba,prediction,behavior_consistency,social_balance
18524,0.9898146589597067,0.0009143169504134574,0.010185341040293339,0.9917619,1.0,0.2,0.6
18525,0.04517668448388577,0.0031580829077501476,0.04517668448388577,0.031491403,0.0,0.8,0.0
18526,0.9652538736661274,0.0017405143845813842,0.03474612633387264,0.97186893,1.0,0.0,1.0
18527,0.9892250696818035,0.0012821267163354614,0.01077493031819654,0.99107146,1.0,0.4,0.8
18528,0.05809081345796585,0.0033131193271195383,0.05809081345796585,0.04746362,0.0,1.0,0.19999999999999996
18529,0.9867781201998392,0.000762002468506563,0.013221879800160763,0.9904631,1.0,0.0,1.0
18530,0.971859073638916,0.002417217628577379,0.028140926361084007,0.9765771,1.0,0.2,0.8
18531,0.061060963322718945,0.0017574438531267535,0.061060963322718945,0.0485005,0.0,1.0,0.4
18532,0.9861500779787699,0.001143945158284307,0.013849922021230143,0.9910883,1.0,0.0,0.8
18533,0.030379592689375085,0.002491868049836618,0.030379592689375085,0.024833731,0.0,0.8,0.4
18534,0.9847230792045594,0.0004561224492635452,0.01527692079544063,0.9847142,1.0,0.0,0.6
18535,0.970168689886729,0.0013513478898081485,0.029831310113271003,0.9797777,1.0,0.0,0.6
18536,0.04081426896154881,0.001239650061586776,0.04081426896154881,0.028975928,0.0,0.8,0.19999999999999996
18537,0.9798579255739848,0.0007273733792117194,0.020142074426015233,0.983853,1.0,0.2,0.19999999999999996
18538,0.06359680593013764,0.0018640774569749926,0.06359680593013764,0.049375392,0.0,1.0,0.19999999999999996
18539,0.9809096097946167,0.0001883191629427496,0.01909039020538328,0.97995204,1.0,0.0,0.4
18540,0.9814417401949564,0.0006412861092998893,0.018558259805043553,0.98653257,1.0,0.2,0.9469787822878228
18541,0.9676198442776996,0.0007711626021560826,0.03238015572230035,0.97127706,1.0,0.0,0.8
18542,0.059871379286050797,0.0014232981925850474,0.059871379286050797,0.035019077,0.0,0.8,0.4
18543,0.9713075757026672,0.0010114910561513893,0.028692424297332764,0.9797738,1.0,0.2,0.4
18544,0.04639742535849412,0.0021623235029110724,0.04639742535849412,0.04295129,0.0,1.0,0.6
18545,0.03525259482363859,0.004035518716582883,0.03525259482363859,0.03498257,0.0,1.0,0.0
18546,0.9620401581128439,0.0017755727882495058,0.037959841887156065,0.96624684,1.0,0.0,0.8
18547,0.041419694075981776,0.0032508808721532913,0.041419694075981776,0.02857898,0.0,0.6,0.4
18548,0.9880696415901185,0.000986945332640089,0.011930358409881547,0.9903272,1.0,0.2,0.8
18549,0.9895214557647705,0.0012467061328915669,0.010478544235229537,0.99222636,1.0,0.2,0.8
18550,0.9756204843521118,0.0019066765552914248,0.024379515647888206,0.9824844,1.0,0.0,0.6
18551,0.9910405516624451,0.0017599840872954426,0.00895944833755491,0.99203557,1.0,0.4,0.8
18552,0.05781084746122359,0.005264246033815563,0.05781084746122359,0.03541836,0.0,0.8,0.4
18553,0.06521885047356288,0.0028169021520650403,0.06521885047356288,0.05483107,0.0,1.0,0.4
18554,0.9780111908912659,0.0008443559904857282,0.02198880910873413,0.98201615,1.0,0.0,1.0
18555,0.9710546612739563,0.0017978968782383208,0.028945338726043657,0.97945327,1.0,0.4,0.8
18556,0.05515646959344546,0.002189304717769684,0.05515646959344546,0.0459954,0.0,1.0,0.0
