id,current,strategy,score,prob
19162,Introvert,high_uncertainty,0.004506801237123941,0.004506801237123941
22306,Introvert,high_uncertainty,0.004590180123110403,0.004590180123110403
23554,Introvert,high_uncertainty,0.004629750948391743,0.004629750948391743
24420,Introvert,high_uncertainty,0.004725285044813641,0.004725285044813641
22665,Introvert,high_uncertainty,0.004734965227545202,0.004734965227545202
19612,Introvert,model_disagreement,0.3275167689945231,0.3772081262052929
20017,Introvert,model_disagreement,0.26799396635568645,0.37779167429516686
19768,Extrovert,model_disagreement,0.24301681797610647,0.6034703540942766
19482,Extrovert,model_disagreement,0.23242549829018957,0.5313560157636885
19774,Introvert,model_disagreement,0.2148378210334025,0.3826634210037145
