filename,num_differences
flip_BOUNDARY_2_E2I_id_18534.csv,1
flip_CORRECTED_DISAGREEMENT_1_E2I_id_18604.csv,1
flip_CORRECTED_DISAGREEMENT_1_E2I_id_18754.csv,1
flip_CORRECTED_DISAGREEMENT_1_E2I_id_18876.csv,1
flip_CORRECTED_DISAGREEMENT_1_E2I_id_19514.csv,1
flip_CORRECTED_DISAGREEMENT_1_E2I_id_19477.csv,1
flip_CORRECTED_DISAGREEMENT_1_E2I_id_19612.csv,1
flip_CORRECTED_DISAGREEMENT_1_E2I_id_19774.csv,1
flip_CORRECTED_DISAGREEMENT_1_E2I_id_22218.csv,1
flip_CORRECTED_DISAGREEMENT_1_E2I_id_19876.csv,1
flip_CORRECTED_DISAGREEMENT_1_E2I_id_20017.csv,1
flip_CORRECTED_DISAGREEMENT_1_E2I_id_21932.csv,1
flip_CORRECTED_DISAGREEMENT_1_E2I_id_22547.csv,1
flip_CORRECTED_DISAGREEMENT_1_E2I_id_22286.csv,1
flip_CORRECTED_DISAGREEMENT_1_E2I_id_23418.csv,1
flip_E2I_3_id_23336.csv,1
flip_SEQ_1_I2E_id_18566.csv,1
flip_E2I_4_id_23844.csv,1
flip_MIRROR_20934_v1_id_20033.csv,1
flip_MIRROR_20934_v2_id_22234.csv,1
flip_MIRROR_20934_v4_id_19636.csv,1
flip_MIRROR_20934_v3_id_22927.csv,1
flip_MIRROR_20934_v5_id_22850.csv,1
flip_NEW_1_first_records_E2I_id_18524.csv,1
flip_UNCERTAINTY_5_toI_id_24005.csv,1
flip_PATTERN34_1_E2I_id_18834.csv,1
flip_PATTERN34_2_E2I_id_18934.csv,1
flip_PATTERN34_3_E2I_id_19034.csv,1
flip_PATTERN34_5_E2I_id_19234.csv,1
flip_VERIFIED_BASELINE_0.000977_1_E2I_id_19065.csv,1
flip_VERIFIED_BASELINE_0.000308_1_E2I_id_21890.csv,1
flip_VERIFIED_BASELINE_0.000162_1_E2I_id_22040.csv,1
flip_VERIFIED_BASELINE_0.001757_1_E2I_id_18625.csv,1
flip_HARD_CASE_LIKE_11798_1_I2E_id_24428.csv,2
flip_MMD_1_E2I_id_23547.csv,2
amplified_false_positives_5x_20250714_021606_submission.csv,7
