file1,file2,md5_1,md5_2,differences,diff_count,e_to_i,i_to_e
amplified_false_positives_5x_20250714_021606_submission.csv,flip_BOUNDARY_2_E2I_id_18534.csv,9e2efd852983b2bca082c647017433bd,4389c8196c5f6c0b554e2f9e6c7d0df1,"18534:E->I,19612:I->E,20017:I->E,21932:I->E,23336:I->E,23350:I->E,23418:I->E,24005:I->E",8,1,7
amplified_false_positives_5x_20250714_021606_submission.csv,flip_CORRECTED_DISAGREEMENT_1_E2I_id_18604.csv,9e2efd852983b2bca082c647017433bd,1f80055a28bc0082cd99536b9f576583,"18604:E->I,19612:I->E,20017:I->E,21932:I->E,23336:I->E,23350:I->E,23418:I->E,24005:I->E",8,1,7
amplified_false_positives_5x_20250714_021606_submission.csv,flip_CORRECTED_DISAGREEMENT_1_E2I_id_18754.csv,9e2efd852983b2bca082c647017433bd,ca80294d90a54c65fe745dfb988210af,"18754:E->I,19612:I->E,20017:I->E,21932:I->E,23336:I->E,23350:I->E,23418:I->E,24005:I->E",8,1,7
amplified_false_positives_5x_20250714_021606_submission.csv,flip_CORRECTED_DISAGREEMENT_1_E2I_id_18876.csv,9e2efd852983b2bca082c647017433bd,c04d342d01ec333d1ceb44c9f8348592,"18876:E->I,19612:I->E,20017:I->E,21932:I->E,23336:I->E,23350:I->E,23418:I->E,24005:I->E",8,1,7
amplified_false_positives_5x_20250714_021606_submission.csv,flip_CORRECTED_DISAGREEMENT_1_E2I_id_19477.csv,9e2efd852983b2bca082c647017433bd,8393e8e4b8bb810a43f8af91be33b491,"19477:E->I,19612:I->E,20017:I->E,21932:I->E,23336:I->E,23350:I->E,23418:I->E,24005:I->E",8,1,7
amplified_false_positives_5x_20250714_021606_submission.csv,flip_CORRECTED_DISAGREEMENT_1_E2I_id_19514.csv,9e2efd852983b2bca082c647017433bd,9047e0645557c9df7b1a033ecfd063ad,"19514:E->I,19612:I->E,20017:I->E,21932:I->E,23336:I->E,23350:I->E,23418:I->E,24005:I->E",8,1,7
amplified_false_positives_5x_20250714_021606_submission.csv,flip_CORRECTED_DISAGREEMENT_1_E2I_id_19612.csv,9e2efd852983b2bca082c647017433bd,66a72c580c40f6955649f5dd41f062a3,"20017:I->E,21932:I->E,23336:I->E,23350:I->E,23418:I->E,24005:I->E",6,0,6
amplified_false_positives_5x_20250714_021606_submission.csv,flip_CORRECTED_DISAGREEMENT_1_E2I_id_19774.csv,9e2efd852983b2bca082c647017433bd,dea696eb70ff9b034fb8f67496b1f228,"19612:I->E,19774:E->I,20017:I->E,21932:I->E,23336:I->E,23350:I->E,23418:I->E,24005:I->E",8,1,7
amplified_false_positives_5x_20250714_021606_submission.csv,flip_CORRECTED_DISAGREEMENT_1_E2I_id_19876.csv,9e2efd852983b2bca082c647017433bd,b884d550ae6d54c7c4cc1fbdcb2aa743,"19612:I->E,19876:E->I,20017:I->E,21932:I->E,23336:I->E,23350:I->E,23418:I->E,24005:I->E",8,1,7
amplified_false_positives_5x_20250714_021606_submission.csv,flip_CORRECTED_DISAGREEMENT_1_E2I_id_20017.csv,9e2efd852983b2bca082c647017433bd,00eefbe243a920c62439dc217387a131,"19612:I->E,21932:I->E,23336:I->E,23350:I->E,23418:I->E,24005:I->E",6,0,6
amplified_false_positives_5x_20250714_021606_submission.csv,flip_CORRECTED_DISAGREEMENT_1_E2I_id_21932.csv,9e2efd852983b2bca082c647017433bd,e875b1352973ecc7d33aac98ffee4613,"19612:I->E,20017:I->E,23336:I->E,23350:I->E,23418:I->E,24005:I->E",6,0,6
amplified_false_positives_5x_20250714_021606_submission.csv,flip_CORRECTED_DISAGREEMENT_1_E2I_id_22218.csv,9e2efd852983b2bca082c647017433bd,e0e3ed90acc92429f86da97e022d8e5b,"19612:I->E,20017:I->E,21932:I->E,22218:E->I,23336:I->E,23350:I->E,23418:I->E,24005:I->E",8,1,7
amplified_false_positives_5x_20250714_021606_submission.csv,flip_CORRECTED_DISAGREEMENT_1_E2I_id_22286.csv,9e2efd852983b2bca082c647017433bd,a9a986f08ae46dc2905d278f783b8c5f,"19612:I->E,20017:I->E,21932:I->E,22286:E->I,23336:I->E,23350:I->E,23418:I->E,24005:I->E",8,1,7
amplified_false_positives_5x_20250714_021606_submission.csv,flip_CORRECTED_DISAGREEMENT_1_E2I_id_22547.csv,9e2efd852983b2bca082c647017433bd,b342890f08416d673cc172a964501693,"19612:I->E,20017:I->E,21932:I->E,22547:E->I,23336:I->E,23350:I->E,23418:I->E,24005:I->E",8,1,7
