filename,num_differences,differences
amplified_false_positives_5x_20250714_021606_submission.csv,7,"19612:E->I,20017:E->I,21932:E->I,23336:E->I,23350:E->I,23418:E->I,24005:E->I"
flip_BOUNDARY_2_E2I_id_18534.csv,1,18534:E->I
flip_CORRECTED_DISAGREEMENT_1_E2I_id_18604.csv,1,18604:E->I
flip_CORRECTED_DISAGREEMENT_1_E2I_id_18754.csv,1,18754:E->I
flip_CORRECTED_DISAGREEMENT_1_E2I_id_18876.csv,1,18876:E->I
flip_CORRECTED_DISAGREEMENT_1_E2I_id_19477.csv,1,19477:E->I
flip_CORRECTED_DISAGREEMENT_1_E2I_id_19514.csv,1,19514:E->I
flip_CORRECTED_DISAGREEMENT_1_E2I_id_19612.csv,1,19612:E->I
flip_CORRECTED_DISAGREEMENT_1_E2I_id_19774.csv,1,19774:E->I
flip_CORRECTED_DISAGREEMENT_1_E2I_id_19876.csv,1,19876:E->I
flip_CORRECTED_DISAGREEMENT_1_E2I_id_20017.csv,1,20017:E->I
flip_CORRECTED_DISAGREEMENT_1_E2I_id_21932.csv,1,21932:E->I
flip_CORRECTED_DISAGREEMENT_1_E2I_id_22218.csv,1,22218:E->I
flip_CORRECTED_DISAGREEMENT_1_E2I_id_22286.csv,1,22286:E->I
flip_CORRECTED_DISAGREEMENT_1_E2I_id_22547.csv,1,22547:E->I
flip_CORRECTED_DISAGREEMENT_1_E2I_id_23418.csv,1,23418:E->I
flip_E2I_3_id_23336.csv,1,23336:E->I
flip_E2I_4_id_23844.csv,1,23844:E->I
flip_HARD_CASE_LIKE_11798_1_I2E_id_24428.csv,2,"24005:E->I,24428:I->E"
flip_MIRROR_20934_v1_id_20033.csv,1,20033:I->E
flip_MIRROR_20934_v2_id_22234.csv,1,22234:I->E
flip_MIRROR_20934_v3_id_22927.csv,1,22927:I->E
flip_MIRROR_20934_v4_id_19636.csv,1,19636:I->E
flip_MIRROR_20934_v5_id_22850.csv,1,22850:I->E
flip_MMD_1_E2I_id_23547.csv,2,"23547:E->I,24005:E->I"
flip_NEW_1_first_records_E2I_id_18524.csv,1,18524:E->I
flip_PATTERN34_1_E2I_id_18834.csv,1,18834:E->I
flip_PATTERN34_2_E2I_id_18934.csv,1,18934:E->I
flip_PATTERN34_3_E2I_id_19034.csv,1,19034:E->I
flip_PATTERN34_5_E2I_id_19234.csv,1,19234:E->I
flip_SEQ_1_I2E_id_18566.csv,1,18566:I->E
flip_UNCERTAINTY_5_toI_id_24005.csv,1,24005:E->I
flip_VERIFIED_BASELINE_0.000162_1_E2I_id_22040.csv,1,22040:E->I
flip_VERIFIED_BASELINE_0.000308_1_E2I_id_21890.csv,1,21890:E->I
flip_VERIFIED_BASELINE_0.000977_1_E2I_id_19065.csv,1,19065:E->I
flip_VERIFIED_BASELINE_0.001757_1_E2I_id_18625.csv,1,18625:E->I
